id	x	y	u	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec	parallax
81	69.11572	-28.09601	17.13	5309186443873144576	14.316839218139648	14.594843864440918	13.864009857177734	0.7308340072631836	146.10621928320612	-54.121079744390144	0.3393898259865094
82	61.46605	-58.04467	20.538	5309186340793923968	16.84025001525879	17.426570892333984	16.103086471557617	1.3234844207763672	146.10273001454146	-54.12949410856786	0.2060113845147522
83	54.35748	-347.19426	20.251	5309185511845159808	16.859914779663086	17.36152458190918	16.202661514282227	1.1588630676269531	146.10087742057914	-54.21055106146987	0.1642988023416679
84	54.90367	-178.93016	16.814	5309186233399737728	14.234445571899414	14.429826736450195	13.795034408569336	0.6347923278808594	146.10022534341	-54.16341600066136	0.3054306362589514
86	55.40894	103.56173	17.138	5309188780335368448	14.35949420928955	14.632401466369627	13.914054870605469	0.7183465957641602	146.09889874603354	-54.084222090565206	0.335523363134371
87	53.40576	-6.45356	19.147	5309187195472514432	15.98803424835205	16.351728439331055	15.358638763427734	0.9930896759033204	146.09855732612894	-54.11506855497613	0.3269106320294525
88	52.86499	-43.85737	18.47	5309186443873139840	15.327347755432127	15.728429794311523	14.733036994934082	0.9953927993774414	146.09849219926815	-54.125559173839264	0.3228094740020175
89	54.49404	142.51409	19.639	5309188780335373056	16.194337844848633	16.741840362548828	15.405985832214355	1.3358545303344729	146.09823687043513	-54.07330614144392	0.0776368691133791
91	48.51693	-51.27189	16.903	5309186340793922944	14.11573600769043	14.39488697052002	13.665451049804688	0.729435920715332	146.0964523304491	-54.12765232688069	0.3212211326802253
92	49.48323	127.53982	20.229	5309188780335369984	17.046220779418945	17.53626823425293	16.417993545532227	1.1182746887207031	146.0959025051922	-54.07752257407776	0.573689626511004
93	43.72639	-58.54241	20.088	5309186340793920512	16.851594924926758	17.361478805541992	16.151214599609375	1.2102642059326172	146.09418226621705	-54.12970279907314	0.3564691232140662
94	41.06959	21.59435	17.969	5309187199787392640	14.878457069396973	15.24843978881836	14.32728385925293	0.9211559295654296	146.0924609857354	-54.10724740638907	0.3081649944753423
95	41.52571	219.99032	17.494	5309189020853548160	14.803522109985352	15.078388214111328	14.319554328918455	0.7588338851928711	146.09156992959257	-54.051638776814194	0.2292344129244943
96	38.9135	8.49093	19.876	5309187199787390080	16.691757202148438	17.1693058013916	16.065183639526367	1.1041221618652344	146.09147948799986	-54.110922920617554	0.2040162309041522
97	38.20311	36.24711	16.813	5309187199787394304	14.139479637145996	14.387953758239746	13.723381042480469	0.6645727157592773	146.0910009496425	-54.103146210027184	0.319389623512333
98	35.63699	-14.90826	19.165	5309187199787385472	15.980216026306152	16.405078887939453	15.364217758178713	1.0408611297607422	146.09005452825903	-54.11749933681083	0.2908977627181413
99	35.15957	18.49986	17.714	5309187199787390720	14.725963592529297	15.040968894958496	14.237268447875977	0.8037004470825195	146.0896329724539	-54.10813053197188	0.3190609522896113
100	35.9516	240.43979	20.026	5309189020853549568	16.688901901245117	17.225482940673828	15.987276077270508	1.2382068634033203	146.08879802636844	-54.04591820991087	0.3690405225187632
102	25.73429	-299.91844	19.983	5309185722318725888	16.446746826171875	17.035869598388672	15.68667697906494	1.3491926193237305	146.0868470766941	-54.19740454115608	0.2181316156067923
103	26.54613	120.74166	17.312	5309187302866617088	14.43722438812256	14.738414764404297	13.886051177978516	0.8523635864257812	146.08492620660476	-54.07949562260479	0.216979450868718
