id	x	y	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec
2151	-71.9836785	33.4463815	5309187371586070400	14.67492389678955	14.980107307434082	14.1851224899292	0.7949848175048828	146.0380304050259	-54.104282205873126
1925	-81.3899465	-54.5341482	5309186959269326976	15.170825958251951	15.467578887939451	14.705909729003906	0.7616691589355469	146.0339598937003	-54.12897053625967
2194	-84.3853961	109.9105923	5309187440305556352	15.32241153717041	15.623485565185549	14.84556484222412	0.7779207229614258	146.03167751913517	-54.08288801178632
1921	-86.2917964	-52.0080666	5309186959269202432	15.235203742980955	15.502490997314451	14.802552223205566	0.6999387741088867	146.03158911745888	-54.12827735579249
356	-88.0301571	163.0679391	5309199294416518144	13.32548713684082	13.587061882019045	12.894807815551758	0.6922540664672852	146.02965529362598	-54.06799975201573
351	-101.0404539	134.8589731	5309199294416514944	17.104549407958984	17.623687744140625	16.40374183654785	1.2199459075927734	146.02354896747948	-54.075945423947104
2168	-109.7369955	54.8481709	5309187401631024384	17.004531860351562	17.544029235839844	16.303943634033203	1.2400856018066406	146.01977365007815	-54.098397338551614
300	-118.0512004	149.5166683	5309199191337299712	16.430076599121094	16.962881088256836	15.72576141357422	1.2371196746826172	146.0153037365513	-54.07188768607824
1905	-124.3496219	-61.8104695	5309186924909460992	16.396352767944336	16.870328903198242	15.75589370727539	1.1144351959228516	146.01333204592956	-54.13113853806274
124	-206.8594334	95.1022356	5309198847739907840	16.326805114746094	16.77320671081543	15.704524993896484	1.068681716918945	145.97290079156346	-54.08739467856492
126	-217.9167485	117.0188972	5309198847739908864	16.2380313873291	16.691558837890625	15.610499382019045	1.081059455871582	145.96748484017277	-54.0812824225393
108	-228.8447624	16.945053	5309198813380162432	15.936078071594238	16.34764289855957	15.324973106384276	1.022669792175293	145.96269921803102	-54.10936214958099
2843	157.6401734	216.9138429	5309188883414741248	15.25179958343506	15.784341812133787	14.538422584533691	1.2459192276000977	146.1473327224154	-54.05210901371068
2862	123.1209478	218.1333026	5309188917774339328	15.983559608459473	16.402475357055664	15.38608741760254	1.016387939453125	146.13075251959353	-54.05188638582161
2106	8.9845977	24.690942	5309187268506864896	14.906867980957031	15.078895568847656	14.07392692565918	1.0049686431884766	146.07700113574768	-54.10648301195803
2047	-28.691778	36.7020341	5309187165427646208	15.610316276550291	15.94597053527832	15.106489181518556	0.8394813537597656	146.05882460382944	-54.10323587450242
1821	-41.3340117	-82.3481883	5309186753110772992	16.227413177490234	16.672286987304688	15.608220100402832	1.0640668869018557	146.05337363841036	-54.13664336308321
3127	-63.6107764	-363.1840006	5308810376538445696	14.619502067565918	14.949049949645996	14.110135078430176	0.8389148712158203	146.0441173193449	-54.2154263769935
1903	-136.5918087	-70.1054097	5309186924909459328	17.2243709564209	17.79696273803711	16.494516372680664	1.302446365356445	146.00748416684	-54.13349949066205
2084	70.5338874	8.0278418	5309187234147132928	15.053794860839844	15.40540599822998	14.523427963256836	0.8819780349731445	146.10668435982052	-54.11095250493093
2043	-2.1089972	-6.7966502	5309187165427643136	15.183942794799805	15.38669776916504	14.549029350280762	0.8376684188842773	146.0718375013112	-54.11534393680876
2109	-13.8421731	55.2706729	5309187268506866432	15.486970901489258	15.867680549621582	14.862922668457031	1.0047578811645508	146.06586371931778	-54.09798463903783
2434	108.2049633	48.0228014	5309187955701646592	16.94422721862793	17.419677734375	16.216686248779297	1.2029914855957031	146.1245667596107	-54.09961608210967
2691	225.5382719	186.2659658	5309188505457485184	13.937592506408691	14.170198440551758	13.542500495910645	0.6276979446411133	146.18011850437404	-54.06045793559433
