ra,dec,u
155.17723,-59.74253,20.661
155.1751,-59.75761,18.062
155.17209,-59.69812,20.435
155.16957,-59.73107,19.033
155.16401,-59.77377,18.479
155.14851,-59.67868,19.721
155.14522,-59.68988,20.831
155.14217,-59.73308,17.625
155.13642,-59.67938,19.653
155.10667,-59.74077,15.35
155.1031,-59.73166,18.6
155.10327,-59.67198,20.155
155.1008,-59.72556,20.63
155.10009,-59.76325,19.98
155.09004,-59.67801,19.455
155.07315,-59.75425,20.52
155.07261,-59.77536,20.75
155.07187,-59.77623,19.01
155.06515,-59.64305,20.529
155.06058,-59.64396,20.085
155.05577,-59.69079,19.97
155.04955,-59.67271,19.602
155.04596,-59.7486,17.66
155.04501,-59.71498,20.58
155.02594,-59.72713,20.56
155.02423,-59.75326,17.69
155.02383,-59.7022,19.86
155.02034,-59.68315,20.315
155.01433,-59.74111,19.73
155.01178,-59.75498,19.96
155.01011,-59.65836,19.469
155.0058,-59.75785,20.67
155.00524,-59.76805,19.52
155.00418,-59.76504,20.12
155.00438,-59.73197,19.65
155.00395,-59.73349,18.45
154.99881,-59.7424,19.5
154.9888,-59.71394,19.29
154.97958,-59.69758,20.055
154.96536,-59.74403,20.83
155.3008,-59.74239,16.865
155.2723,-59.75831,18.608
155.27055,-59.72148,16.929
155.25908,-59.7279,20.147
155.25788,-59.68245,19.154
155.23343,-59.7018,17.053
155.2282,-59.78559,20.39
155.2244,-59.65448,20.421
155.21966,-59.76833,20.235
155.20856,-59.79068,20.719
155.20335,-59.69295,19.402
155.20275,-59.69339,20.105
155.17453,-59.6664,19.456
155.16638,-59.7018,19.925
155.14454,-59.6929,19.448
155.13821,-59.69283,15.453
155.11709,-59.70115,18.35
155.10713,-59.64876,19.57
155.07839,-59.7698,18.1
155.06588,-59.79024,21.7
155.02532,-59.74854,19.75
155.02582,-59.689,18.773
155.00948,-59.70513,17.75
154.9971,-59.76112,20.09
154.98953,-59.7085,19.68
154.97071,-59.7169,18.82
154.95534,-59.71345,16.55
155.23324,-59.7315,17.193
155.20798,-59.77812,18.482
155.12435,-59.66764,16.26
155.06998,-59.68835,16.955
155.03117,-59.74257,19.59
155.00821,-59.7055,19.77
155.21469,-59.65362,20.025
155.13982,-59.69292,17.607
155.1083,-59.74083,17.32
155.27057,-59.71911,19.335
155.23277,-59.73222,20.288
155.13646,-59.63511,18.442
155.0795,-59.77027,18.63
155.07781,-59.76927,18.98
155.2285,-59.64753,19.778
155.14316,-59.6943,19.37
155.02868,-59.73733,19.7
155.00314,-59.67106,20.069
155.11931,-59.66099,18.325
