ra,dec,u
146.02217,-54.14415,15.503
146.02115,-54.13256,19.674
146.01776,-54.12648,18.641
146.01555,-54.15836,19.553
146.01478,-54.14033,16.04
146.01379,-54.16806,13.647
146.01341,-54.15155,17.785
146.01161,-54.20863,18.342
146.01287,-54.10247,20.364
146.01054,-54.18977,17.09
146.01112,-54.12856,16.7
146.00979,-54.09882,16.597
146.00824,-54.18633,19.703
146.00412,-54.18401,19.954
146.00366,-54.17732,18.738
146.00444,-54.0856,20.254
146.0041,-54.05928,20.575
146.00112,-54.19938,19.354
146.00114,-54.18487,18.925
146.00118,-54.11073,20.51
145.99926,-54.19533,19.582
146.00035,-54.12608,19.809
145.9997,-54.07056,19.721
145.99844,-54.06649,19.935
145.99758,-54.06276,19.407
145.99693,-54.07984,18.117
145.99305,-54.14305,20.473
145.99236,-54.16901,18.685
145.99144,-54.19357,17.923
145.99142,-54.11575,20.876
145.99033,-54.10159,19.484
145.98926,-54.1261,20.665
145.98814,-54.14364,17.704
145.98769,-54.12183,19.651
145.98657,-54.1535,19.557
145.98724,-54.06153,20.168
145.98523,-54.17178,19.036
145.98533,-54.161,19.92
145.98507,-54.14792,18.637
145.98309,-54.11533,16.778
145.98308,-54.10747,19.976
145.98327,-54.09878,19.103
145.98076,-54.18988,18.186
145.98215,-54.08895,19.54
145.98034,-54.16484,19.134
145.98067,-54.08799,19.833
145.98103,-54.06479,19.084
145.97831,-54.15669,19.697
145.97708,-54.15295,19.306
145.97694,-54.08286,19.533
145.97485,-54.17974,19.66
145.97256,-54.15781,14.763
145.97169,-54.11065,19.206
145.96947,-54.18531,18.277
145.96996,-54.09354,16.801
145.96856,-54.16731,16.489
145.96543,-54.17819,18.501
145.96497,-54.08513,20.534
145.96297,-54.15695,17.448
145.959,-54.08094,19.86
145.95453,-54.09407,20.411
145.95379,-54.11396,18.25
145.9527,-54.11145,14.309
145.94907,-54.10388,18.437
145.94472,-54.09622,19.774
145.9427,-54.143,16.095
145.94161,-54.12979,19.875
145.94186,-54.1079,17.616
145.93972,-54.14794,20.772
145.9327,-54.11893,19.784
146.22208,-54.15379,17.496
146.2099,-54.08798,17.858
146.20401,-54.16517,17.902
146.20351,-54.14318,20.115
146.19973,-54.09443,20.305
146.19739,-54.09994,19.588
146.19582,-54.08036,19.306
146.17722,-54.15224,19.103
146.16654,-54.13249,19.506
146.15891,-54.11583,20.182
146.15763,-54.14341,19.93
146.15782,-54.10465,20.662
146.15471,-54.05511,18.908
146.14763,-54.20883,19.47
146.14496,-54.12853,20.137
146.13837,-54.05479,19.224
146.13248,-54.21264,20.474
